,unnamed: 0,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,yearincome,monthlyincome,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,datebirth,roledepartament,remotework
21,21,33.0,No,,515.0,,1,2,Life Sciences,73.0,1,F,98.0,3,3, research director ,4,single,15146,1,yes,12,3.0,3,,,,0,15.0,1,3.0,15,,8,12,1990,Unknown,Si
22,22,36.0,No,,1223.0,,8,3,,unknown,3,F,59.0,3,3, healthcare representative ,3,divorced,8202,1,unknown,13,,2,,,,3,17.0,2,3.0,17,,12,8,1987,Unknown,Si
23,23,47.0,No,,202.0,,2,2,Other,820.0,3,F,33.0,3,4, manager ,4,married,12982,1,unknown,11,3.0,3,"80,0",201024.0,16752.0,1,,3,2.0,26,,3,0,1976,Unknown,No
24,24,36.0,No,rarely,928.0,,42,2,Life Sciences,unknown,4,M,56.0,3,2, sales executive ,4,unknown,2823,1,unknown,14,3.0,4,,74412.0,6201.0,1,18.0,1,,18,,4,11,1987,Unknown,Si
25,25,35.0,No,,607.0,,9,3,Life Sciences,unknown,4,F,66.0,2,3, manufacturing director ,3,married,23457,1,yes,20,4.0,2,"80,0",,,1,17.0,2,3.0,17,,5,15,1988,Unknown,No
26,26,52.0,Yes,,266.0,,2,1,,unknown,1,F,57.0,1,5, manager ,4,married,25846,1,no,15,3.0,4,,238140.0,19845.0,1,33.0,3,3.0,32,,6,9,1971,Unknown,Si
27,27,36.0,No,,429.0,,2,4,Life Sciences,1294.0,3,F,53.0,3,2, manufacturing director ,2,single,2323,9,yes,11,3.0,4,,,,0,18.0,2,3.0,16,,5,12,1987,Unknown,No
28,28,33.0,No,rarely,589.0,,28,4,Life Sciences,unknown,2,M,79.0,3,2, laboratory technician ,3,married,22949,1,unknown,12,3.0,2,,,,1,15.0,3,3.0,15,,5,7,1990,Unknown,Si
29,29,34.0,No,non-travel,, Sales ,10,3,Life Sciences,1774.0,4,M,87.0,3,2, sales executive ,3,unknown,12313,1,yes,14,3.0,3,,48012.0,4001.0,1,15.0,3,3.0,15,,0,7,1989, sales executive  -  sales ,Si
30,30,41.0,No,,, Sales ,37,1,,1815.0,3,F,81.0,3,3, sales executive ,3,divorced,26458,0,unknown,13,3.0,4,,125364.0,10447.0,1,,3,4.0,22,,13,5,1982, sales executive  -  sales ,Si
31,31,47.0,No,,1180.0, Research & Development ,25,3,Medical,1993.0,1,M,84.0,3,3, healthcare representative ,3,unknown,13084,2,unknown,23,4.0,2,,,,0,25.0,3,3.0,17,,12,11,1976, healthcare representative  -  research & development ,Si
32,32,53.0,No,rarely,1282.0,,5,3,,32.0,3,F,58.0,3,5, manager ,3,unknown,10735,4,unknown,11,3.0,4,,,,1,26.0,3,2.0,14,,4,8,1970,Unknown,Si
33,33,35.0,No,,776.0,,1,4,Marketing,100.0,3,M,32.0,2,2, sales executive ,1,single,23016,0,no,14,,2,"80,0",,,0,16.0,2,3.0,15,,2,8,1988,Unknown,No
34,34,34.0,No,rarely,665.0,,6,4,Other,unknown,1,F,41.0,3,2, research scientist ,3,single,12482,1,unknown,14,3.0,3,,,,0,16.0,3,3.0,16,,2,10,1989,Unknown,Si
35,35,46.0,No,rarely,526.0,,1,2,,244.0,2,F,92.0,3,3, sales executive ,1,divorced,2137,1,no,25,4.0,3,,,,3,24.0,2,3.0,24,,15,7,1977,Unknown,Si
36,36,43.0,No,,1034.0,,16,3,,327.0,4,F,80.0,3,4, manager ,4,married,7744,5,unknown,22,4.0,3,,192768.0,16064.0,1,22.0,3,3.0,17,,1,9,1980,Unknown,Si
37,37,36.0,No,,1403.0, Research & Development ,6,3,Life Sciences,373.0,4,M,47.0,3,1, laboratory technician ,4,married,20251,0,unknown,11,3.0,3,,38520.0,3210.0,1,16.0,4,3.0,15,,10,11,1987, laboratory technician  -  research & development ,Si
38,38,60.0,No,frequently,1499.0,,28,3,,unknown,3,F,80.0,2,3, sales executive ,1,married,2845,4,no,19,3.0,4,,123192.0,10266.0,0,22.0,5,4.0,18,13.0,13,11,1963,Unknown,Si
39,39,40.0,No,frequently,580.0,,5,4,,729.0,4,M,48.0,2,3, sales executive ,1,married,23772,5,yes,21,4.0,3,"80,0",125700.0,10475.0,1,20.0,2,3.0,18,,1,12,1983,Unknown,No
40,40,32.0,No,rarely,859.0,,4,3,,830.0,3,F,98.0,2,2, manufacturing director ,3,married,19124,1,no,12,3.0,3,"80,0",73944.0,6162.0,1,14.0,3,3.0,14,,6,8,1991,Unknown,No
41,41,41.0,No,rarely,263.0,,35,3,,unknown,3,M,59.0,3,1, laboratory technician ,1,single,3119,2,yes,13,,3,,56652.0,4721.0,0,20.0,3,3.0,18,,2,17,1982,Unknown,Si
42,42,53.0,No,,1376.0,,2,2,Medical,981.0,3,M,,3,4, manager ,3,divorced,13938,6,no,13,3.0,3,,,,1,22.0,3,4.0,17,,15,2,1970,Unknown,No
43,43,36.0,Yes,rarely,885.0,,16,4,,1042.0,3,F,43.0,4,1, laboratory technician ,1,single,8269,1,unknown,16,3.0,3,"80,0",,,0,18.0,1,3.0,17,,15,14,1987,Unknown,Si
44,44,46.0,No,,1003.0,,8,4,Life Sciences,1080.0,4,F,74.0,2,2, research scientist ,1,divorced,21029,8,yes,23,4.0,1,,55380.0,4615.0,3,,2,3.0,16,,1,7,1977,Unknown,No
45,45,38.0,No,rarely,1321.0,,1,4,,1995.0,4,M,86.0,3,2, sales executive ,2,married,7636,0,no,15,3.0,1,,,,2,16.0,3,,15,,5,8,1985,Unknown,Si
46,46,51.0,No,,,,1,4,,145.0,1,F,30.0,2,3, healthcare representative ,1,single,25796,3,unknown,20,4.0,3,,,,0,23.0,1,2.0,13,,12,8,1972,Unknown,Si
47,47,43.0,No,,394.0,,26,2,,158.0,3,M,92.0,3,4, manager ,4,married,19494,1,yes,12,3.0,4,"80,0",203508.0,16959.0,2,25.0,3,4.0,25,,4,12,1980,Unknown,Si
48,48,37.0,No,,1372.0,,1,3,Life Sciences,391.0,4,F,42.0,3,1, research scientist ,4,single,15881,1,no,12,3.0,2,"80,0",,,0,,3,3.0,17,,5,7,1986,Unknown,Si
49,49,32.0,No,rarely,,,8,2,Technical Degree,436.0,3,F,65.0,2,2, sales executive ,2,married,24624,1,yes,11,3.0,4,"80,0",,,0,,2,3.0,13,12.0,11,9,1991,Unknown,Si
50,50,38.0,No,,1333.0,,1,3,,unknown,4,F,80.0,3,3, research director ,1,married,16292,1,unknown,13,3.0,2,,,,1,15.0,3,3.0,15,,5,11,1985,Unknown,No
51,51,46.0,No,,228.0,,3,3,Life Sciences,1527.0,3,F,51.0,3,4, manager ,2,unknown,11380,8,no,12,3.0,4,"80,0",,,1,23.0,2,4.0,13,,5,1,1977,Unknown,Si
52,52,35.0,Yes,rarely,737.0,,10,3,Medical,unknown,4,M,55.0,2,3, sales executive ,1,married,21530,9,unknown,17,3.0,3,,123672.0,10306.0,0,15.0,3,,13,,6,0,1988,Unknown,No
53,53,43.0,No,,823.0,,6,3,Medical,1866.0,1,F,81.0,2,5, manager ,3,married,22539,7,no,13,3.0,4,,,,0,21.0,2,3.0,16,,6,14,1980,Unknown,Si
54,54,56.0,No,non-travel,667.0,,1,4,Life Sciences,2026.0,3,M,57.0,3,2, healthcare representative ,3,divorced,26236,1,no,21,,1,,,,1,,2,2.0,13,,1,9,1967,Unknown,Si
55,55,36.0,No,non-travel,301.0,,15,4,Marketing,unknown,4,M,88.0,1,2, sales executive ,4,divorced,10436,1,no,24,4.0,1,"80,0",64872.0,5406.0,1,,4,2.0,15,,11,11,1987,Unknown,Si
56,56,38.0,No,,573.0,,6,3,Medical,107.0,2,F,79.0,1,2, research scientist ,4,unknown,15717,7,unknown,12,3.0,4,,,,3,17.0,3,3.0,13,,1,9,1985,Unknown,Si
57,57,49.0,No,,,,26,4,Medical,170.0,3,F,96.0,3,2, manufacturing director ,1,unknown,5549,1,no,14,3.0,3,,,,0,16.0,2,2.0,15,,5,11,1974,Unknown,No
58,58,39.0,No,rarely,1329.0,,4,4,Life Sciences,unknown,4,F,47.0,2,2, sales executive ,3,married,14590,4,unknown,14,3.0,3,"80,0",70824.0,5902.0,1,17.0,1,4.0,15,,5,9,1984,Unknown,Si
59,59,40.0,No,,630.0,,4,4,,215.0,3,M,67.0,2,3, sales executive ,4,married,8552,7,no,11,,1,,130260.0,10855.0,1,15.0,2,2.0,12,,2,11,1983,Unknown,Si
60,60,36.0,No,,,,5,2,,304.0,4,M,62.0,3,2, laboratory technician ,2,single,9945,8,no,16,3.0,4,"80,0",70968.0,5914.0,0,16.0,3,4.0,13,,3,7,1987,Unknown,Si
61,61,37.0,No,,1063.0,,25,5,,529.0,2,F,72.0,3,2, research scientist ,3,married,23866,3,yes,15,3.0,1,"80,0",,,2,15.0,2,3.0,13,,10,7,1986,Unknown,No
62,62,35.0,No,,1017.0,,6,4,,691.0,2,M,82.0,1,2, research scientist ,4,unknown,19368,1,unknown,13,3.0,2,,79752.0,6646.0,0,,3,3.0,17,,11,8,1988,Unknown,Si
63,63,33.0,No,frequently,1296.0,,6,3,Life Sciences,692.0,3,M,,3,2, healthcare representative ,4,divorced,5335,3,no,23,4.0,3,,,,1,15.0,2,1.0,13,,4,7,1990,Unknown,No
64,64,50.0,No,rarely,939.0, Research & Development ,24,3,,1005.0,4,M,,3,4, manufacturing director ,3,married,4161,3,yes,18,3.0,4,,167676.0,13973.0,1,22.0,2,3.0,12,,1,5,1973, manufacturing director  -  research & development ,No
65,65,48.0,No,rarely,1355.0,,4,4,,1024.0,3,M,78.0,2,3, healthcare representative ,3,single,22245,7,unknown,14,,2,"80,0",,,0,27.0,3,3.0,15,11.0,4,8,1975,Unknown,Si
66,66,44.0,No,rarely,1448.0, Sales ,28,3,,1039.0,4,F,53.0,4,4, sales executive ,4,married,11737,3,unknown,18,3.0,3,"80,0",159840.0,13320.0,1,,2,3.0,12,,11,11,1979, sales executive  -  sales ,Si
67,67,44.0,No,rarely,200.0,,29,4,,1225.0,4,M,32.0,3,2, research scientist ,4,single,7744,1,unknown,25,4.0,2,,,,0,,3,3.0,20,,13,17,1979,Unknown,Si
68,68,40.0,No,,1202.0,,25,1,,1375.0,2,F,89.0,4,2, healthcare representative ,3,unknown,13888,5,no,20,4.0,2,,,,3,15.0,0,3.0,12,,11,8,1983,Unknown,Si
69,69,34.0,No,rarely,404.0,,2,4,,unknown,3,F,98.0,3,2, healthcare representative ,4,single,6163,1,unknown,11,3.0,4,"80,0",80244.0,6687.0,0,14.0,2,4.0,14,,4,11,1989,Unknown,Si
70,70,35.0,No,non-travel,208.0, Research & Development ,8,4,,unknown,3,F,52.0,3,2, healthcare representative ,3,unknown,12250,1,unknown,12,3.0,4,"80,0",,,1,,5,3.0,14,,2,9,1988, healthcare representative  -  research & development ,Si
71,71,50.0,No,,813.0,,17,5,Life Sciences,unknown,4,F,50.0,2,3, research director ,1,unknown,21981,5,no,15,3.0,3,,,,3,,3,3.0,14,11.0,1,11,1973,Unknown,No
72,72,49.0,No,,465.0,,6,1,Life Sciences,1661.0,3,F,41.0,2,4, healthcare representative ,3,unknown,11652,2,unknown,19,3.0,2,"80,0",,,1,,3,3.0,15,,2,12,1974,Unknown,Si
73,73,38.0,No,frequently,1189.0,,1,3,Life Sciences,1668.0,4,M,90.0,3,2, research scientist ,4,unknown,9867,7,no,15,3.0,4,"80,0",56820.0,4735.0,2,19.0,4,,13,,2,9,1985,Unknown,Si
74,74,33.0,No,,,,21,3,,1698.0,2,M,79.0,4,1, laboratory technician ,2,unknown,13637,1,no,18,3.0,4,,,,3,14.0,6,,14,,2,13,1990,Unknown,Si
75,75,47.0,No,rarely,1001.0,,4,3,Life Sciences,unknown,3,F,92.0,2,3, manufacturing director ,2,divorced,19271,8,yes,12,,3,,,,1,,4,3.0,22,,14,10,1976,Unknown,Si
76,76,38.0,No,,1394.0, Research & Development ,8,3,,1937.0,4,F,58.0,2,2, research scientist ,2,divorced,18115,1,unknown,16,3.0,3,,,,1,20.0,3,3.0,20,,0,7,1985, research scientist  -  research & development ,No
77,77,37.0,No,rarely,161.0,,10,3,Life Sciences,2017.0,3,F,42.0,4,3, research director ,4,unknown,15471,1,yes,25,4.0,1,,,,1,16.0,2,3.0,16,,6,8,1986,Unknown,Si
78,78,30.0,No,,288.0,,2,3,,117.0,3,M,99.0,2,2, healthcare representative ,4,married,15830,1,no,19,,1,"80,0",,,3,11.0,3,3.0,11,,10,8,1993,Unknown,Si
79,79,58.0,No,rarely,682.0,,18,4,,131.0,4,M,37.0,3,4, sales executive ,3,single,24409,0,unknown,13,3.0,3,,166464.0,13872.0,0,38.0,1,2.0,37,,1,8,1965,Unknown,Si
80,80,34.0,No,rarely,1354.0,,5,3,,153.0,3,F,45.0,2,3, manager ,1,single,5615,2,unknown,12,3.0,4,"80,0",,,0,14.0,6,3.0,11,,5,8,1989,Unknown,No
81,81,58.0,Yes,rarely,147.0,,23,4,Medical,unknown,4,F,94.0,3,3, healthcare representative ,4,married,3465,1,unknown,12,3.0,4,,,,1,40.0,3,2.0,40,,15,6,1965,Unknown,Si
82,82,38.0,No,,119.0,,3,3,Life Sciences,307.0,1,M,76.0,3,3, sales executive ,3,divorced,9647,0,unknown,12,3.0,3,,,,2,,6,2.0,16,,5,13,1985,Unknown,Si
83,83,29.0,No,frequently,1413.0,,1,1,,unknown,2,F,42.0,3,3, sales executive ,4,married,6599,1,unknown,14,3.0,4,,,,1,11.0,5,3.0,11,,4,1,1994,Unknown,Si
84,84,55.0,No,rarely,452.0,,1,3,Medical,374.0,4,M,81.0,3,5, manager ,1,single,18938,0,unknown,14,3.0,3,,228540.0,19045.0,0,37.0,2,3.0,36,,4,13,1968,Unknown,Si
85,85,41.0,No,,334.0,,10,4,,unknown,4,M,88.0,3,4, manager ,2,unknown,15896,1,unknown,19,3.0,2,,192180.0,16015.0,0,,2,3.0,22,,0,4,1982,Unknown,Si
86,86,39.0,No,rarely,1132.0, Research & Development ,1,3,,unknown,3,M,48.0,4,3, healthcare representative ,4,unknown,10942,0,no,17,,1,"80,0",115356.0,9613.0,3,19.0,5,2.0,18,,3,7,1984, healthcare representative  -  research & development ,No
87,87,38.0,No,,,,15,2,Life Sciences,unknown,3,M,92.0,2,3, research director ,4,unknown,15682,0,unknown,14,3.0,2,,138120.0,11510.0,1,,3,3.0,11,,2,9,1985,Unknown,Si
88,88,43.0,No,,982.0,,12,3,,unknown,1,M,59.0,2,4, research director ,2,unknown,4345,1,no,11,3.0,3,"80,0",,,1,,3,,25,,3,9,1980,Unknown,Si
89,89,31.0,No,,480.0,,30,2,,524.0,2,F,31.0,3,2, manufacturing director ,1,married,4156,1,no,12,3.0,2,"80,0",51672.0,4306.0,1,13.0,5,1.0,13,,3,12,1992,Unknown,Si
90,90,50.0,No,rarely,1099.0, Research & Development ,27,4,Life Sciences,569.0,2,M,88.0,2,4, manager ,3,married,9314,0,no,15,3.0,2,,204552.0,17046.0,1,28.0,2,3.0,27,,15,7,1973, manager  -  research & development ,Si
91,91,35.0,No,,672.0,,25,3,Technical Degree,899.0,4,M,78.0,2,3, manufacturing director ,2,married,9129,3,no,16,,1,,,,0,,2,3.0,13,,4,8,1988,Unknown,No
92,92,47.0,No,,1379.0,,16,4,,unknown,3,M,64.0,4,2, manufacturing director ,3,unknown,6759,1,yes,19,3.0,3,,60804.0,5067.0,0,20.0,3,,19,,2,7,1976,Unknown,Si
93,93,35.0,No,,583.0, Research & Development ,25,4,,1014.0,3,F,57.0,3,3, healthcare representative ,3,divorced,6975,1,yes,11,,3,,,,1,,3,2.0,16,,10,1,1988, healthcare representative  -  research & development ,Si
94,94,40.0,No,rarely,1492.0,,20,4,,unknown,1,M,61.0,3,3, healthcare representative ,4,married,26542,4,unknown,20,4.0,4,,,,1,14.0,6,3.0,11,,11,1,1983,Unknown,Si
95,95,45.0,No,,1050.0, Sales ,9,4,Life Sciences,1117.0,2,F,65.0,2,2, sales executive ,3,married,17970,1,unknown,13,3.0,4,"80,0",,,1,15.0,2,3.0,15,,4,12,1978, sales executive  -  sales ,No
96,96,33.0,No,,117.0, Research & Development ,9,3,Medical,1238.0,1,M,60.0,3,1, research scientist ,4,married,6311,0,unknown,13,3.0,2,,,,1,15.0,5,3.0,14,,4,10,1990, research scientist  -  research & development ,No
97,97,36.0,No,frequently,469.0,,3,3,,unknown,3,M,46.0,3,1, research scientist ,2,married,9256,1,no,12,3.0,3,,44304.0,3692.0,0,12.0,2,2.0,11,,0,7,1987,Unknown,No
98,98,45.0,Yes,,,,13,3,Marketing,1277.0,1,F,94.0,1,5, manager ,2,unknown,2493,2,yes,16,3.0,1,,,,0,26.0,2,3.0,24,,1,11,1978,Unknown,Si
99,99,51.0,No,frequently,237.0,,27,3,,unknown,2,M,83.0,3,5, manager ,2,unknown,19196,4,yes,24,,1,,238164.0,19847.0,1,,5,2.0,29,,11,10,1972,Unknown,No
100,100,34.0,No,rarely,1440.0,,7,2,Technical Degree,1541.0,2,M,55.0,3,1, sales representative ,3,unknown,4944,0,yes,25,4.0,2,,27696.0,2308.0,1,12.0,4,3.0,11,,5,7,1989,Unknown,No
101,101,43.0,No,rarely,1291.0, Research & Development ,15,2,,1666.0,3,M,65.0,2,4, research director ,3,unknown,3525,1,no,24,4.0,1,,,,1,,3,3.0,14,,6,11,1980, research director  -  research & development ,Si
102,102,34.0,No,,1157.0,,5,2,Medical,1696.0,2,M,57.0,2,2, laboratory technician ,4,unknown,11912,1,no,14,3.0,3,,,,1,,3,,15,,4,13,1989,Unknown,No
103,103,38.0,No,,1336.0,,2,3,,1805.0,1,M,100.0,3,1, human resources ,2,divorced,7129,5,no,13,3.0,4,,,,3,13.0,3,3.0,11,,3,8,1985,Unknown,Si
104,104,48.0,No,,1224.0,,10,3,,unknown,4,M,91.0,2,5, research director ,2,unknown,13583,4,no,12,3.0,4,,,,0,29.0,3,3.0,22,,12,9,1975,Unknown,No
105,105,34.0,No,,735.0, Research & Development ,22,4,Other,1932.0,3,M,86.0,2,2, research scientist ,4,married,26496,1,yes,15,3.0,2,,68964.0,5747.0,0,16.0,3,3.0,15,,6,11,1989, research scientist  -  research & development ,No
106,106,32.0,No,rarely,,,31,4,,2016.0,3,F,48.0,3,3, sales executive ,4,unknown,24032,1,no,19,3.0,3,,125064.0,10422.0,2,14.0,3,3.0,14,,5,7,1991,Unknown,Si
107,107,29.0,No,rarely,1389.0,,21,4,Life Sciences,20.0,2,F,51.0,4,3, manufacturing director ,1,divorced,10195,1,no,11,3.0,3,,,,1,10.0,1,3.0,10,,8,8,1994,Unknown,No
108,108,46.0,No,,638.0,,1,3,Medical,unknown,3,M,40.0,2,3, healthcare representative ,1,married,3142,2,yes,13,3.0,3,,,,1,21.0,5,2.0,10,,9,5,1977,Unknown,No
109,109,30.0,No,,1240.0, Human Resources ,9,3,,184.0,3,M,48.0,3,2, human resources ,4,married,13982,0,yes,19,3.0,4,"80,0",76164.0,6347.0,0,,2,1.0,11,,4,7,1993, human resources  -  human resources ,No
110,110,45.0,No,,194.0,,9,3,Life Sciences,206.0,2,M,60.0,3,2, laboratory technician ,2,unknown,10901,8,no,18,3.0,3,,28176.0,2348.0,1,20.0,2,,17,,0,15,1978,Unknown,Si
111,111,30.0,No,rarely,1339.0,,5,3,,228.0,2,F,41.0,3,3, sales executive ,4,unknown,8053,2,no,12,3.0,3,,,,1,,2,3.0,10,,7,4,1993,Unknown,Si
112,112,30.0,No,,111.0,,9,3,,239.0,3,M,66.0,3,2, laboratory technician ,1,unknown,11012,1,no,11,,3,"80,0",36864.0,3072.0,2,12.0,4,3.0,12,,6,10,1993,Unknown,Si
113,113,34.0,No,frequently,,,29,1,,256.0,4,M,45.0,2,2, manufacturing director ,3,married,14074,1,unknown,17,3.0,3,,,,0,10.0,2,2.0,10,,1,9,1989,Unknown,No
114,114,51.0,No,rarely,1469.0,,8,4,Life Sciences,unknown,2,M,81.0,2,3, research director ,2,married,15736,5,no,16,3.0,4,,149880.0,12490.0,2,16.0,5,1.0,10,,4,7,1972,Unknown,No
115,115,34.0,No,,470.0,,39,4,Life Sciences,339.0,3,M,84.0,2,2, manufacturing director ,1,unknown,23687,6,unknown,13,3.0,2,,,,1,13.0,3,3.0,11,,5,9,1989,Unknown,Si
116,116,35.0,No,rarely,1232.0,,16,3,,406.0,3,M,96.0,3,3, sales executive ,2,married,5100,0,unknown,15,3.0,3,,96240.0,8020.0,2,12.0,3,2.0,11,,6,9,1988,Unknown,Si
117,117,45.0,No,frequently,1249.0,,7,3,Life Sciences,unknown,1,M,97.0,3,3, laboratory technician ,1,unknown,20308,1,unknown,18,3.0,1,,,,1,24.0,2,3.0,24,,9,11,1978,Unknown,Si
118,118,39.0,No,,117.0,,10,1,,429.0,3,M,99.0,3,4, manager ,1,married,5355,1,unknown,14,,4,,204816.0,17068.0,0,21.0,3,3.0,21,,11,10,1984,Unknown,Si
119,119,31.0,No,,798.0,,7,2,,unknown,3,F,48.0,2,3, manufacturing director ,3,married,14034,1,no,24,4.0,1,,107316.0,8943.0,1,10.0,2,3.0,10,,8,9,1992,Unknown,No
120,120,39.0,No,,672.0, Research & Development ,7,2,,444.0,3,M,54.0,2,5, manager ,4,married,21141,1,unknown,15,3.0,1,,231264.0,19272.0,1,,2,3.0,21,,13,3,1984, manager  -  research & development ,Si
121,121,45.0,No,rarely,549.0,,8,4,,452.0,4,M,75.0,3,2, research scientist ,4,unknown,9278,9,no,14,3.0,1,"80,0",,,2,12.0,3,3.0,10,,9,8,1978,Unknown,Si
122,122,30.0,No,rarely,570.0, Sales ,5,3,Marketing,456.0,4,F,30.0,2,2, sales executive ,3,unknown,5431,1,unknown,13,3.0,3,,,,3,10.0,2,3.0,10,,1,2,1993, sales executive  -  sales ,Si
123,123,31.0,No,,1232.0,,7,4,Medical,unknown,3,F,39.0,3,3, manufacturing director ,4,unknown,25713,1,unknown,14,3.0,3,,,,0,11.0,2,2.0,11,,4,10,1992,Unknown,No
124,124,36.0,No,,541.0,,3,4,Medical,481.0,1,M,48.0,2,3, sales executive ,4,married,7246,4,no,11,3.0,1,,,,1,16.0,2,3.0,13,,1,12,1987,Unknown,Si
125,125,36.0,No,rarely,164.0,,2,2,,513.0,2,M,61.0,2,3, sales executive ,3,married,3809,1,unknown,13,3.0,2,,,,2,10.0,2,3.0,10,,9,0,1987,Unknown,Si
126,126,55.0,No,rarely,1117.0,,18,5,,597.0,1,F,83.0,3,4, manager ,2,single,9873,3,no,23,4.0,4,,,,0,37.0,2,3.0,10,,7,7,1968,Unknown,Si
