,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,yearincome,monthlyincome,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,roledepartament,remotework
26,52.0,Yes,rarely,266.0,unknown,2,1,unknown,unknown,1,F,57.0,1,5, manager ,4,married,25846,1,no,15,3.0,4,40.0,238140.0,19845.0,1,33.0,3,3.0,32,6,9,1971,unknown,Si
27,36.0,No,rarely,429.0,unknown,2,4,Life Sciences,1294.0,3,F,53.0,3,2, manufacturing director ,2,single,2323,9,yes,11,3.0,4,40.0,77732.23346303502,6477.686121919585,0,18.0,2,3.0,16,5,12,1987,unknown,No
28,33.0,No,rarely,589.0,unknown,28,4,Life Sciences,unknown,2,M,79.0,3,2, laboratory technician ,3,married,22949,1,unknown,12,3.0,2,40.0,77732.23346303502,6477.686121919585,1,15.0,3,3.0,15,5,7,1990,unknown,Si
29,34.0,No,non-travel,, Sales ,10,3,Life Sciences,1774.0,4,M,87.0,3,2, sales executive ,3,unknown,12313,1,yes,14,3.0,3,40.0,48012.0,4001.0,1,15.0,3,3.0,15,0,7,1989, sales executive  -  sales ,Si
30,41.0,No,rarely,, Sales ,37,1,unknown,1815.0,3,F,81.0,3,3, sales executive ,3,divorced,26458,0,unknown,13,3.0,4,40.0,125364.0,10447.0,1,11.318933823529411,3,4.0,22,13,5,1982, sales executive  -  sales ,Si
31,47.0,No,rarely,1180.0, Research & Development ,25,3,Medical,1993.0,1,M,84.0,3,3, healthcare representative ,3,unknown,13084,2,unknown,23,4.0,2,40.0,77732.23346303502,6477.686121919585,0,25.0,3,3.0,17,12,11,1976, healthcare representative  -  research & development ,Si
32,53.0,No,rarely,1282.0,unknown,5,3,unknown,32.0,3,F,58.0,3,5, manager ,3,unknown,10735,4,unknown,11,3.0,4,40.0,77732.23346303502,6477.686121919585,1,26.0,3,2.0,14,4,8,1970,unknown,Si
33,35.0,No,rarely,776.0,unknown,1,4,Marketing,100.0,3,M,32.0,2,2, sales executive ,1,single,23016,0,no,14,3.15,2,40.0,77732.23346303502,6477.686121919585,0,16.0,2,3.0,15,2,8,1988,unknown,No
34,34.0,No,rarely,665.0,unknown,6,4,Other,unknown,1,F,41.0,3,2, research scientist ,3,single,12482,1,unknown,14,3.0,3,40.0,77732.23346303502,6477.686121919585,0,16.0,3,3.0,16,2,10,1989,unknown,Si
35,46.0,No,rarely,526.0,unknown,1,2,unknown,244.0,2,F,92.0,3,3, sales executive ,1,divorced,2137,1,no,25,4.0,3,40.0,77732.23346303502,6477.686121919585,3,24.0,2,3.0,24,15,7,1977,unknown,Si
36,43.0,No,rarely,1034.0,unknown,16,3,unknown,327.0,4,F,80.0,3,4, manager ,4,married,7744,5,unknown,22,4.0,3,40.0,192768.0,16064.0,1,22.0,3,3.0,17,1,9,1980,unknown,Si
37,36.0,No,rarely,1403.0, Research & Development ,6,3,Life Sciences,373.0,4,M,47.0,3,1, laboratory technician ,4,married,20251,0,unknown,11,3.0,3,40.0,38520.0,3210.0,1,16.0,4,3.0,15,10,11,1987, laboratory technician  -  research & development ,Si
38,60.0,No,frequently,1499.0,unknown,28,3,unknown,unknown,3,F,80.0,2,3, sales executive ,1,married,2845,4,no,19,3.0,4,40.0,123192.0,10266.0,0,22.0,5,4.0,18,13,11,1963,unknown,Si
39,40.0,No,frequently,580.0,unknown,5,4,unknown,729.0,4,M,48.0,2,3, sales executive ,1,married,23772,5,yes,21,4.0,3,40.0,125700.0,10475.0,1,20.0,2,3.0,18,1,12,1983,unknown,No
40,32.0,No,rarely,859.0,unknown,4,3,unknown,830.0,3,F,98.0,2,2, manufacturing director ,3,married,19124,1,no,12,3.0,3,40.0,73944.0,6162.0,1,14.0,3,3.0,14,6,8,1991,unknown,No
41,41.0,No,rarely,263.0,unknown,35,3,unknown,unknown,3,M,59.0,3,1, laboratory technician ,1,single,3119,2,yes,13,3.15,3,40.0,56652.0,4721.0,0,20.0,3,3.0,18,2,17,1982,unknown,Si
42,53.0,No,rarely,1376.0,unknown,2,2,Medical,981.0,3,M,66.0281045751634,3,4, manager ,3,divorced,13938,6,no,13,3.0,3,40.0,77732.23346303502,6477.686121919585,1,22.0,3,4.0,17,15,2,1970,unknown,No
43,36.0,Yes,rarely,885.0,unknown,16,4,unknown,1042.0,3,F,43.0,4,1, laboratory technician ,1,single,8269,1,unknown,16,3.0,3,40.0,77732.23346303502,6477.686121919585,0,18.0,1,3.0,17,15,14,1987,unknown,Si
44,46.0,No,rarely,1003.0,unknown,8,4,Life Sciences,1080.0,4,F,74.0,2,2, research scientist ,1,divorced,21029,8,yes,23,4.0,1,40.0,55380.0,4615.0,3,11.318933823529411,2,3.0,16,1,7,1977,unknown,No
45,38.0,No,rarely,1321.0,unknown,1,4,unknown,1995.0,4,M,86.0,3,2, sales executive ,2,married,7636,0,no,15,3.0,1,40.0,77732.23346303502,6477.686121919585,2,16.0,3,2.76,15,5,8,1985,unknown,Si
46,51.0,No,rarely,,unknown,1,4,unknown,145.0,1,F,30.0,2,3, healthcare representative ,1,single,25796,3,unknown,20,4.0,3,40.0,77732.23346303502,6477.686121919585,0,23.0,1,2.0,13,12,8,1972,unknown,Si
47,43.0,No,rarely,394.0,unknown,26,2,unknown,158.0,3,M,92.0,3,4, manager ,4,married,19494,1,yes,12,3.0,4,40.0,203508.0,16959.0,2,25.0,3,4.0,25,4,12,1980,unknown,Si
48,37.0,No,rarely,1372.0,unknown,1,3,Life Sciences,391.0,4,F,42.0,3,1, research scientist ,4,single,15881,1,no,12,3.0,2,40.0,77732.23346303502,6477.686121919585,0,11.318933823529411,3,3.0,17,5,7,1986,unknown,Si
49,32.0,No,rarely,,unknown,8,2,Technical Degree,436.0,3,F,65.0,2,2, sales executive ,2,married,24624,1,yes,11,3.0,4,40.0,77732.23346303502,6477.686121919585,0,11.318933823529411,2,3.0,13,11,9,1991,unknown,Si
50,38.0,No,rarely,1333.0,unknown,1,3,unknown,unknown,4,F,80.0,3,3, research director ,1,married,16292,1,unknown,13,3.0,2,40.0,77732.23346303502,6477.686121919585,1,15.0,3,3.0,15,5,11,1985,unknown,No
51,46.0,No,rarely,228.0,unknown,3,3,Life Sciences,1527.0,3,F,51.0,3,4, manager ,2,unknown,11380,8,no,12,3.0,4,40.0,77732.23346303502,6477.686121919585,1,23.0,2,4.0,13,5,1,1977,unknown,Si
52,35.0,Yes,rarely,737.0,unknown,10,3,Medical,unknown,4,M,55.0,2,3, sales executive ,1,married,21530,9,unknown,17,3.0,3,40.0,123672.0,10306.0,0,15.0,3,2.76,13,6,0,1988,unknown,No
53,43.0,No,rarely,823.0,unknown,6,3,Medical,1866.0,1,F,81.0,2,5, manager ,3,married,22539,7,no,13,3.0,4,40.0,77732.23346303502,6477.686121919585,0,21.0,2,3.0,16,6,14,1980,unknown,Si
54,56.0,No,non-travel,667.0,unknown,1,4,Life Sciences,2026.0,3,M,57.0,3,2, healthcare representative ,3,divorced,26236,1,no,21,3.15,1,40.0,77732.23346303502,6477.686121919585,1,11.318933823529411,2,2.0,13,1,9,1967,unknown,Si
55,36.0,No,non-travel,301.0,unknown,15,4,Marketing,unknown,4,M,88.0,1,2, sales executive ,4,divorced,10436,1,no,24,4.0,1,40.0,64872.0,5406.0,1,11.318933823529411,4,2.0,15,11,11,1987,unknown,Si
56,38.0,No,rarely,573.0,unknown,6,3,Medical,107.0,2,F,79.0,1,2, research scientist ,4,unknown,15717,7,unknown,12,3.0,4,40.0,77732.23346303502,6477.686121919585,3,17.0,3,3.0,13,1,9,1985,unknown,Si
57,49.0,No,rarely,,unknown,26,4,Medical,170.0,3,F,96.0,3,2, manufacturing director ,1,unknown,5549,1,no,14,3.0,3,40.0,77732.23346303502,6477.686121919585,0,16.0,2,2.0,15,5,11,1974,unknown,No
58,39.0,No,rarely,1329.0,unknown,4,4,Life Sciences,unknown,4,F,47.0,2,2, sales executive ,3,married,14590,4,unknown,14,3.0,3,40.0,70824.0,5902.0,1,17.0,1,4.0,15,5,9,1984,unknown,Si
59,40.0,No,rarely,630.0,unknown,4,4,unknown,215.0,3,M,67.0,2,3, sales executive ,4,married,8552,7,no,11,3.15,1,40.0,130260.0,10855.0,1,15.0,2,2.0,12,2,11,1983,unknown,Si
60,36.0,No,rarely,,unknown,5,2,unknown,304.0,4,M,62.0,3,2, laboratory technician ,2,single,9945,8,no,16,3.0,4,40.0,70968.0,5914.0,0,16.0,3,4.0,13,3,7,1987,unknown,Si
61,37.0,No,rarely,1063.0,unknown,25,5,unknown,529.0,2,F,72.0,3,2, research scientist ,3,married,23866,3,yes,15,3.0,1,40.0,77732.23346303502,6477.686121919585,2,15.0,2,3.0,13,10,7,1986,unknown,No
62,35.0,No,rarely,1017.0,unknown,6,4,unknown,691.0,2,M,82.0,1,2, research scientist ,4,unknown,19368,1,unknown,13,3.0,2,40.0,79752.0,6646.0,0,11.318933823529411,3,3.0,17,11,8,1988,unknown,Si
63,33.0,No,frequently,1296.0,unknown,6,3,Life Sciences,692.0,3,M,66.0281045751634,3,2, healthcare representative ,4,divorced,5335,3,no,23,4.0,3,40.0,77732.23346303502,6477.686121919585,1,15.0,2,1.0,13,4,7,1990,unknown,No
64,50.0,No,rarely,939.0, Research & Development ,24,3,unknown,1005.0,4,M,66.0281045751634,3,4, manufacturing director ,3,married,4161,3,yes,18,3.0,4,40.0,167676.0,13973.0,1,22.0,2,3.0,12,1,5,1973, manufacturing director  -  research & development ,No
65,48.0,No,rarely,1355.0,unknown,4,4,unknown,1024.0,3,M,78.0,2,3, healthcare representative ,3,single,22245,7,unknown,14,3.15,2,40.0,77732.23346303502,6477.686121919585,0,27.0,3,3.0,15,4,8,1975,unknown,Si
66,44.0,No,rarely,1448.0, Sales ,28,3,unknown,1039.0,4,F,53.0,4,4, sales executive ,4,married,11737,3,unknown,18,3.0,3,40.0,159840.0,13320.0,1,11.318933823529411,2,3.0,12,11,11,1979, sales executive  -  sales ,Si
67,44.0,No,rarely,200.0,unknown,29,4,unknown,1225.0,4,M,32.0,3,2, research scientist ,4,single,7744,1,unknown,25,4.0,2,40.0,77732.23346303502,6477.686121919585,0,11.318933823529411,3,3.0,20,13,17,1979,unknown,Si
68,40.0,No,rarely,1202.0,unknown,25,1,unknown,1375.0,2,F,89.0,4,2, healthcare representative ,3,unknown,13888,5,no,20,4.0,2,40.0,77732.23346303502,6477.686121919585,3,15.0,0,3.0,12,11,8,1983,unknown,Si
69,34.0,No,rarely,404.0,unknown,2,4,unknown,unknown,3,F,98.0,3,2, healthcare representative ,4,single,6163,1,unknown,11,3.0,4,40.0,80244.0,6687.0,0,14.0,2,4.0,14,4,11,1989,unknown,Si
70,35.0,No,non-travel,208.0, Research & Development ,8,4,unknown,unknown,3,F,52.0,3,2, healthcare representative ,3,unknown,12250,1,unknown,12,3.0,4,40.0,77732.23346303502,6477.686121919585,1,11.318933823529411,5,3.0,14,2,9,1988, healthcare representative  -  research & development ,Si
71,50.0,No,rarely,813.0,unknown,17,5,Life Sciences,unknown,4,F,50.0,2,3, research director ,1,unknown,21981,5,no,15,3.0,3,40.0,77732.23346303502,6477.686121919585,3,11.318933823529411,3,3.0,14,1,11,1973,unknown,No
72,49.0,No,rarely,465.0,unknown,6,1,Life Sciences,1661.0,3,F,41.0,2,4, healthcare representative ,3,unknown,11652,2,unknown,19,3.0,2,40.0,77732.23346303502,6477.686121919585,1,11.318933823529411,3,3.0,15,2,12,1974,unknown,Si
73,38.0,No,frequently,1189.0,unknown,1,3,Life Sciences,1668.0,4,M,90.0,3,2, research scientist ,4,unknown,9867,7,no,15,3.0,4,40.0,56820.0,4735.0,2,19.0,4,2.76,13,2,9,1985,unknown,Si
74,33.0,No,rarely,,unknown,21,3,unknown,1698.0,2,M,79.0,4,1, laboratory technician ,2,unknown,13637,1,no,18,3.0,4,40.0,77732.23346303502,6477.686121919585,3,14.0,6,2.76,14,2,13,1990,unknown,Si
75,47.0,No,rarely,1001.0,unknown,4,3,Life Sciences,unknown,3,F,92.0,2,3, manufacturing director ,2,divorced,19271,8,yes,12,3.15,3,40.0,77732.23346303502,6477.686121919585,1,11.318933823529411,4,3.0,22,14,10,1976,unknown,Si
76,38.0,No,rarely,1394.0, Research & Development ,8,3,unknown,1937.0,4,F,58.0,2,2, research scientist ,2,divorced,18115,1,unknown,16,3.0,3,40.0,77732.23346303502,6477.686121919585,1,20.0,3,3.0,20,0,7,1985, research scientist  -  research & development ,No
77,37.0,No,rarely,161.0,unknown,10,3,Life Sciences,2017.0,3,F,42.0,4,3, research director ,4,unknown,15471,1,yes,25,4.0,1,40.0,77732.23346303502,6477.686121919585,1,16.0,2,3.0,16,6,8,1986,unknown,Si
78,30.0,No,rarely,288.0,unknown,2,3,unknown,117.0,3,M,99.0,2,2, healthcare representative ,4,married,15830,1,no,19,3.15,1,40.0,77732.23346303502,6477.686121919585,3,11.0,3,3.0,11,10,8,1993,unknown,Si
79,58.0,No,rarely,682.0,unknown,18,4,unknown,131.0,4,M,37.0,3,4, sales executive ,3,single,24409,0,unknown,13,3.0,3,40.0,166464.0,13872.0,0,38.0,1,2.0,37,1,8,1965,unknown,Si
80,34.0,No,rarely,1354.0,unknown,5,3,unknown,153.0,3,F,45.0,2,3, manager ,1,single,5615,2,unknown,12,3.0,4,40.0,77732.23346303502,6477.686121919585,0,14.0,6,3.0,11,5,8,1989,unknown,No
81,58.0,Yes,rarely,147.0,unknown,23,4,Medical,unknown,4,F,94.0,3,3, healthcare representative ,4,married,3465,1,unknown,12,3.0,4,40.0,77732.23346303502,6477.686121919585,1,40.0,3,2.0,40,15,6,1965,unknown,Si
82,38.0,No,rarely,119.0,unknown,3,3,Life Sciences,307.0,1,M,76.0,3,3, sales executive ,3,divorced,9647,0,unknown,12,3.0,3,40.0,77732.23346303502,6477.686121919585,2,11.318933823529411,6,2.0,16,5,13,1985,unknown,Si
83,29.0,No,frequently,1413.0,unknown,1,1,unknown,unknown,2,F,42.0,3,3, sales executive ,4,married,6599,1,unknown,14,3.0,4,40.0,77732.23346303502,6477.686121919585,1,11.0,5,3.0,11,4,1,1994,unknown,Si
84,55.0,No,rarely,452.0,unknown,1,3,Medical,374.0,4,M,81.0,3,5, manager ,1,single,18938,0,unknown,14,3.0,3,40.0,228540.0,19045.0,0,37.0,2,3.0,36,4,13,1968,unknown,Si
85,41.0,No,rarely,334.0,unknown,10,4,unknown,unknown,4,M,88.0,3,4, manager ,2,unknown,15896,1,unknown,19,3.0,2,40.0,192180.0,16015.0,0,11.318933823529411,2,3.0,22,0,4,1982,unknown,Si
86,39.0,No,rarely,1132.0, Research & Development ,1,3,unknown,unknown,3,M,48.0,4,3, healthcare representative ,4,unknown,10942,0,no,17,3.15,1,40.0,115356.0,9613.0,3,19.0,5,2.0,18,3,7,1984, healthcare representative  -  research & development ,No
87,38.0,No,rarely,,unknown,15,2,Life Sciences,unknown,3,M,92.0,2,3, research director ,4,unknown,15682,0,unknown,14,3.0,2,40.0,138120.0,11510.0,1,11.318933823529411,3,3.0,11,2,9,1985,unknown,Si
88,43.0,No,rarely,982.0,unknown,12,3,unknown,unknown,1,M,59.0,2,4, research director ,2,unknown,4345,1,no,11,3.0,3,40.0,77732.23346303502,6477.686121919585,1,11.318933823529411,3,2.76,25,3,9,1980,unknown,Si
89,31.0,No,rarely,480.0,unknown,30,2,unknown,524.0,2,F,31.0,3,2, manufacturing director ,1,married,4156,1,no,12,3.0,2,40.0,51672.0,4306.0,1,13.0,5,1.0,13,3,12,1992,unknown,Si
90,50.0,No,rarely,1099.0, Research & Development ,27,4,Life Sciences,569.0,2,M,88.0,2,4, manager ,3,married,9314,0,no,15,3.0,2,40.0,204552.0,17046.0,1,28.0,2,3.0,27,15,7,1973, manager  -  research & development ,Si
91,35.0,No,rarely,672.0,unknown,25,3,Technical Degree,899.0,4,M,78.0,2,3, manufacturing director ,2,married,9129,3,no,16,3.15,1,40.0,77732.23346303502,6477.686121919585,0,11.318933823529411,2,3.0,13,4,8,1988,unknown,No
92,47.0,No,rarely,1379.0,unknown,16,4,unknown,unknown,3,M,64.0,4,2, manufacturing director ,3,unknown,6759,1,yes,19,3.0,3,40.0,60804.0,5067.0,0,20.0,3,2.76,19,2,7,1976,unknown,Si
93,35.0,No,rarely,583.0, Research & Development ,25,4,unknown,1014.0,3,F,57.0,3,3, healthcare representative ,3,divorced,6975,1,yes,11,3.15,3,40.0,77732.23346303502,6477.686121919585,1,11.318933823529411,3,2.0,16,10,1,1988, healthcare representative  -  research & development ,Si
94,40.0,No,rarely,1492.0,unknown,20,4,unknown,unknown,1,M,61.0,3,3, healthcare representative ,4,married,26542,4,unknown,20,4.0,4,40.0,77732.23346303502,6477.686121919585,1,14.0,6,3.0,11,11,1,1983,unknown,Si
95,45.0,No,rarely,1050.0, Sales ,9,4,Life Sciences,1117.0,2,F,65.0,2,2, sales executive ,3,married,17970,1,unknown,13,3.0,4,40.0,77732.23346303502,6477.686121919585,1,15.0,2,3.0,15,4,12,1978, sales executive  -  sales ,No
96,33.0,No,rarely,117.0, Research & Development ,9,3,Medical,1238.0,1,M,60.0,3,1, research scientist ,4,married,6311,0,unknown,13,3.0,2,40.0,77732.23346303502,6477.686121919585,1,15.0,5,3.0,14,4,10,1990, research scientist  -  research & development ,No
97,36.0,No,frequently,469.0,unknown,3,3,unknown,unknown,3,M,46.0,3,1, research scientist ,2,married,9256,1,no,12,3.0,3,40.0,44304.0,3692.0,0,12.0,2,2.0,11,0,7,1987,unknown,No
98,45.0,Yes,rarely,,unknown,13,3,Marketing,1277.0,1,F,94.0,1,5, manager ,2,unknown,2493,2,yes,16,3.0,1,40.0,77732.23346303502,6477.686121919585,0,26.0,2,3.0,24,1,11,1978,unknown,Si
99,51.0,No,frequently,237.0,unknown,27,3,unknown,unknown,2,M,83.0,3,5, manager ,2,unknown,19196,4,yes,24,3.15,1,40.0,238164.0,19847.0,1,11.318933823529411,5,2.0,29,11,10,1972,unknown,No
100,34.0,No,rarely,1440.0,unknown,7,2,Technical Degree,1541.0,2,M,55.0,3,1, sales representative ,3,unknown,4944,0,yes,25,4.0,2,40.0,27696.0,2308.0,1,12.0,4,3.0,11,5,7,1989,unknown,No
101,43.0,No,rarely,1291.0, Research & Development ,15,2,unknown,1666.0,3,M,65.0,2,4, research director ,3,unknown,3525,1,no,24,4.0,1,40.0,77732.23346303502,6477.686121919585,1,11.318933823529411,3,3.0,14,6,11,1980, research director  -  research & development ,Si
102,34.0,No,rarely,1157.0,unknown,5,2,Medical,1696.0,2,M,57.0,2,2, laboratory technician ,4,unknown,11912,1,no,14,3.0,3,40.0,77732.23346303502,6477.686121919585,1,11.318933823529411,3,2.76,15,4,13,1989,unknown,No
103,38.0,No,rarely,1336.0,unknown,2,3,unknown,1805.0,1,M,100.0,3,1, human resources ,2,divorced,7129,5,no,13,3.0,4,40.0,77732.23346303502,6477.686121919585,3,13.0,3,3.0,11,3,8,1985,unknown,Si
104,48.0,No,rarely,1224.0,unknown,10,3,unknown,unknown,4,M,91.0,2,5, research director ,2,unknown,13583,4,no,12,3.0,4,40.0,77732.23346303502,6477.686121919585,0,29.0,3,3.0,22,12,9,1975,unknown,No
105,34.0,No,rarely,735.0, Research & Development ,22,4,Other,1932.0,3,M,86.0,2,2, research scientist ,4,married,26496,1,yes,15,3.0,2,40.0,68964.0,5747.0,0,16.0,3,3.0,15,6,11,1989, research scientist  -  research & development ,No
106,32.0,No,rarely,,unknown,31,4,unknown,2016.0,3,F,48.0,3,3, sales executive ,4,unknown,24032,1,no,19,3.0,3,40.0,125064.0,10422.0,2,14.0,3,3.0,14,5,7,1991,unknown,Si
107,29.0,No,rarely,1389.0,unknown,21,4,Life Sciences,20.0,2,F,51.0,4,3, manufacturing director ,1,divorced,10195,1,no,11,3.0,3,40.0,77732.23346303502,6477.686121919585,1,10.0,1,3.0,10,8,8,1994,unknown,No
108,46.0,No,rarely,638.0,unknown,1,3,Medical,unknown,3,M,40.0,2,3, healthcare representative ,1,married,3142,2,yes,13,3.0,3,40.0,77732.23346303502,6477.686121919585,1,21.0,5,2.0,10,9,5,1977,unknown,No
109,30.0,No,rarely,1240.0, Human Resources ,9,3,unknown,184.0,3,M,48.0,3,2, human resources ,4,married,13982,0,yes,19,3.0,4,40.0,76164.0,6347.0,0,11.318933823529411,2,1.0,11,4,7,1993, human resources  -  human resources ,No
110,45.0,No,rarely,194.0,unknown,9,3,Life Sciences,206.0,2,M,60.0,3,2, laboratory technician ,2,unknown,10901,8,no,18,3.0,3,40.0,28176.0,2348.0,1,20.0,2,2.76,17,0,15,1978,unknown,Si
111,30.0,No,rarely,1339.0,unknown,5,3,unknown,228.0,2,F,41.0,3,3, sales executive ,4,unknown,8053,2,no,12,3.0,3,40.0,77732.23346303502,6477.686121919585,1,11.318933823529411,2,3.0,10,7,4,1993,unknown,Si
